Id Placa;AIT;Data_infracao;Hora_infracao;Cod_enq;Descricao_enq;Cod_local;Descricao_local;Cod_equip;Cod_serie_equip
2;UVA20584372;20/11/2013;16:28:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4204;AV. VINTE E TRES DE MAIO, SOB VIADUTOTUTOIA, SENTIDO BAIRRO/CENTRO;5007;19
2;RXA17785783;24/11/2013;17:49:00;56810;TRANSITAR NA FAIXA/PISTA DA DIREITA REGUL CIRCULACAO EXCLUSIVA DETERM VEICULO;7580;RUA MELO FREIRE, ALTURA DA RUA TUIUTI,(SENTIDO BAIRRO/CENTRO)-FX EXCLUS ONIBUS;6707;9904107-FX5 
2;UVA22638046;11/01/2014;12:34:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4200;AV. ALCANTARA MACHADO, PROXIMO A RUA DR. ALMEIDA LIMA, SENTIDO BAIRRO/CENTRO;5100;2011404004
7;UVA20985059;30/11/2013;07:10:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
8;MVA10457456;27/12/2013;14:27:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;5054;AVENIDA WASHINGTON LUIS, NUMERO 6675, (SENTIDO CENTRO/BAIRRO);4003;TC001312 
17;UVA22227011;31/12/2013;11:43:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4205;AV. VINTE E TRES DE MAIO, SOB VIADUTOPEDROSO, SENTIDO CENTRO/BAIRRO;5109;500006
17;UVA20585697;20/11/2013;11:36:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4205;AV. VINTE E TRES DE MAIO, SOB VIADUTOPEDROSO, SENTIDO CENTRO/BAIRRO;5109;500006
17;UVA22034795;28/12/2013;11:24:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4205;AV. VINTE E TRES DE MAIO, SOB VIADUTOPEDROSO, SENTIDO CENTRO/BAIRRO;5109;500006
40;UVA21363450;13/12/2013;23:17:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
44;UVA22205212;31/12/2013;05:02:00;74630;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM MAIS DE 20% ATE 50%;4210;AV DOUTOR RICARDO JAFET, SOB VIADUTO SAIOA, SENTIDO IMIGRANTES/IPIRANGA;5108;500007
44;RVA43742526;28/11/2013;23:30:00;74630;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM MAIS DE 20% ATE 50%;7527;AV. SALIM F. MALUF, OPOSTO R. FLORINDOBRAS (V.PRUDENTE/MARG.TIETE) FX 4, 5 E 6;6567;9904011-FX4 
44;SRA28001209;07/10/2013;17:10:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;3071;AV. RUDGE, APOS A RUA JAMES HOLLAND(SENT. BAIRRO/CENTRO);8167;298-FX1 
44;UVA20636780;21/11/2013;21:06:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4206;AV EMBAIXADOR MACEDO SOARES, SOB PONTE NOVA FEPASA, SENTIDO C. BRANCO/A. SENNA;5115;500005
44;SVA37240545;29/12/2013;12:54:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;3057;AV. ZAKI NARCHI, OPOSTO AO PORTAO DO PARQUE DA JUVENTUDE (CENTRO/BAIRRO);8134;284-FX2 
44;CVA29405570;23/12/2013;23:00:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;3426;AV PRES CASTELO BRANCO, APOS PTE DACASA VERDE (SENTIDO C.BRANCO/A.SENNA);8493;279-FX2 
44;KVA13356623;26/12/2013;12:56:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;1130;AV. AGUA FRIA, ALT. DO N. 1361(SENTIDO BAIRRO/CENTRO);5335;86032-BC 
44;TRA19983297;18/11/2013;17:50:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;1529;AV. PRESTES MAIA, N. 913 A(SENTIDO BAIRRO/CENTRO);3067;9903009-FX1 
46;RRA30300920;04/10/2013;17:44:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;7549;AV. SALIM FARAH MALUF, APOS PÇA PIEN(SENTIDO V.PRUDENTE/MARG.TIETE);6625;9904088-FX2 
53;RVA44133523;15/12/2013;18:09:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;7547;AV. REBOUÇAS, APOS AL. LORENA (SENTIDOBAIRRO/CENTRO)-FX EXCLUS ONIBUS;6621;9904076-FX1 
71;RVA44260223;21/12/2013;17:24:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;7566;AV. ALCANTARA MACHADO, OPOSTO R.PLACIDINA (SENT.CENTRO/BAIRRO) FX 4,5 E 6;6664;9904044-FX4 
71;RVA44923729;11/01/2014;15:30:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;7585;AV ARICANDUVA, PROX. R FUNILANDIA (SENTIDO MARG TIETE/S. MATEUS)-FX EXCL ONIBUS;6703;9904040-FX3 
84;RXA17915687;04/12/2013;09:03:00;56900;TRANSITAR NA FAIXA/PISTA DA ESQUERDA REGUL CIRCULACAO EXCLUSIVA DETERM VEICULO;7537;AV. NOVE DE JULHO, ALT R ENG MONLEVADE(CENTRO/BAIRRO) -FX 2 -FX EXCLUS ONIBUS;6585;9904025-FX2 
84;RVA42500383;10/10/2013;14:15:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;7555;AV. ALCANTARA MACHADO, PROX. R.PLACIDINA (SENT BAIRRO/CENTRO) FX 1,2 E 3;6638;9904041-FX1 
108;KRA13074042;24/12/2013;09:33:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;1104;AV SAO GUALTER, ALTURA DA PÇA. SAOMARCOS - SENT. PINHEIROS/LAPA;5304;86016-PL 
117;LVA28541711;17/11/2013;11:32:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;3236;RUA SENA MADUREIRA, ALTURA DO NUMERO1355 (SENTIDO IBIRAPUERA/VILA MARIANA);8285;243-FX3 
124;CRA39444456;30/01/2014;17:28:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;3419;MARG. PINHEIROS, ANT PTE CID. UNIVERS.(SENT. C.BRANCO/INTERLAGOS) - FX 5, 6 E 7;8470;198-FX7 
124;UVA20600491;20/11/2013;15:42:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4206;AV EMBAIXADOR MACEDO SOARES, SOB PONTE NOVA FEPASA, SENTIDO C. BRANCO/A. SENNA;5115;500005
126;CRA38404566;25/11/2013;18:02:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;3404;AV. AFONSO D ESCRAGNOLE TAUNAY, APOSVD DANTE DELMANTO (SENT. MARG/IMIGRANTES);8406;159-FX3 
165;TRA19845102;28/10/2013;17:26:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;1528;R. DA CONSOLAÇAO, N. 913(SENTIDO BAIRRO/CENTRO);3066;9903007-FX4 
192;LRA31524689;15/10/2013;08:53:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;3221;AV PRES TANCREDO NEVES, OP TRAV SANTIUGOLINO MICHELAZZO (SENT ANCH/IMIGRANTES);8241;200-FX1 
194;UVA19395936;06/10/2013;12:21:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4205;AV. VINTE E TRES DE MAIO, SOB VIADUTOPEDROSO, SENTIDO CENTRO/BAIRRO;5109;500006
223;RRA31320062;28/11/2013;07:52:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;7529;AV SALIM F MALUF, PROX R FLORINDO BRAS(SENT MARG.TIETE/V.PRUDENTE) FX 4, 5 E 6;6573;9904009-FX4 
317;UVA21147707;08/12/2013;06:51:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4210;AV DOUTOR RICARDO JAFET, SOB VIADUTO SAIOA, SENTIDO IMIGRANTES/IPIRANGA;5108;500007
356;CRA38938242;23/12/2013;07:34:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;3406;MARG DO RIO PINHEIROS, PISTA EXP, APOS PTE CID UNIV (SENT.INTERLAGOS/C. BRANCO);8417;144-FX4 
489;SXA14323955;18/10/2013;22:05:00;56900;TRANSITAR NA FAIXA/PISTA DA ESQUERDA REGUL CIRCULACAO EXCLUSIVA DETERM VEICULO;3076;AV. ERMANO MARCHETTI, ANTES RUA EMILIOGOELDI (SENT.BAIRRO/CENTRO) FX.EXC.ONIBUS;8183;291-FX1 
489;SRA28279428;06/11/2013;17:21:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;3075;AV. ERMANO MARCHETTI, ANTES DA RUA EMILIO GOELDI (SENT. BAIRRO/CENTRO);8181;291-FX3 
489;SVA36395260;12/10/2013;11:22:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;3077;AV. ERMANO MARCHETTI, APOS A RUA CENNOSBRIGHI (SENT. CENTRO/BAIRRO);8184;293-FX2 
489;SVA36409619;13/10/2013;11:31:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;3077;AV. ERMANO MARCHETTI, APOS A RUA CENNOSBRIGHI (SENT. CENTRO/BAIRRO);8186;293-FX4 
489;SXA14411455;12/12/2013;15:37:00;56900;TRANSITAR NA FAIXA/PISTA DA ESQUERDA REGUL CIRCULACAO EXCLUSIVA DETERM VEICULO;3076;AV. ERMANO MARCHETTI, ANTES RUA EMILIOGOELDI (SENT.BAIRRO/CENTRO) FX.EXC.ONIBUS;8183;291-FX1 
504;XVA16921261;19/12/2013;01:08:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;6016;AV. FRANCISCO DE PAULA Q. RIBEIRO - FRENTE AO NUM. 280 - SENT. BAIRRO/CENTRO;5533;9902008-BC 
512;RVA44689637;02/01/2014;16:32:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;7570;AV. CONDE DE FRONTIN, ANTES DA R.PINHALZINHO (CENTRO/BAIRRO) - FX 4 E 5;6676;9904048-FX4 
540;FVA14022288;05/10/2013;15:17:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;6533;AV. CELSO GARCIA, ALT. DO N. 4911 -SENTIDO BAIRRO/CENTRO;6037;0436-BC 
562;UVA19827933;29/10/2013;22:44:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4202;AV. ARICANDUVA, PROXIMO A RUA DR. MARIANO C. DE MOURA, SENTIDO CENTRO/BAIRRO;5106;404005
562;UVA22026458;28/12/2013;09:27:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4201;AV. ALCANTARA MACHADO, PROXIMO A RUA SIQUEIRA BUENO, SENTIDO CENTRO/BAIRRO;5105;404102
563;UVA23170986;26/01/2014;15:13:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
570;BVA10777971;26/01/2014;20:01:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;1631;R. TEODORO SAMPAIO, N. 1316 -SENTIDO BAIRRO/CENTRO;3335;358-FX1 
570;UVA22172810;30/12/2013;22:42:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
570;UVA19845281;30/10/2013;12:26:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
570;BRA19891566;29/11/2013;17:34:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;1631;R. TEODORO SAMPAIO, N. 1316 -SENTIDO BAIRRO/CENTRO;3336;358-FX2 
570;UVA22548080;07/01/2014;22:55:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
570;RVA42682538;18/10/2013;00:37:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;7525;AV. EUSEBIO MATOSO, APOS R. CARDEALARCOVERDE (SENTIDO CENTRO/BAIRRO);6561;9904046-FX2 
570;XVA17017127;09/01/2014;00:08:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;6060;AV. MARIA COELHO AGUIAR, PROXIMO A R.ANTONIO DA MATA JR. - SENT. BAIRRO/CENTRO;5567;9902052-BC 
570;BRA19847443;22/11/2013;18:54:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;1606;AL. SANTOS, N. 2511 - SENTIDOCONSOLAÇAO/PARAISO;3267;337-FX2 
570;UVA21143264;07/12/2013;15:10:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
